SUBMIT DATE,count
2015-08-22,3
2015-08-23,2
2015-08-24,255
2015-08-25,323
2015-08-26,298
2015-08-27,332
2015-08-28,253
2015-08-29,2
2015-08-30,5
2015-08-31,292
2015-09-01,270
2015-09-02,253
2015-09-03,341
2015-09-04,141
2015-09-05,16
2015-09-06,5
2015-09-07,97
2015-09-08,246
2015-09-09,335
2015-09-10,295
2015-09-11,300
2015-09-12,19
2015-09-13,2
2015-09-14,252
2015-09-15,280
2015-09-16,315
2015-09-17,232
2015-09-18,315
2015-09-19,21
2015-09-20,8
2015-09-21,300
2015-09-22,267
2015-09-23,307
2015-09-24,370
2015-09-25,256
2015-09-26,11
2015-09-27,10
2015-09-28,206
2015-09-29,238
2015-09-30,310
2015-10-01,166
2015-10-02,208
2015-10-03,19
2015-10-04,4
2015-10-05,221
2015-10-06,273
2015-10-07,208
2015-10-08,247
2015-10-09,207
2015-10-10,1
2015-10-11,4
2015-10-12,218
2015-10-13,240
2015-10-14,300
2015-10-15,206
2015-10-16,168
2015-10-17,8
2015-10-18,3
2015-10-19,224
2015-10-20,259
2015-10-21,275
2015-10-22,261
2015-10-23,256
2015-10-24,3
2015-10-25,4
2015-10-26,199
2015-10-27,220
2015-10-28,302
2015-10-29,242
2015-10-30,312
2015-10-31,7
2015-11-01,2
2015-11-02,281
2015-11-03,273
2015-11-04,289
2015-11-05,320
2015-11-06,323
2015-11-07,6
2015-11-08,7
2015-11-09,382
2015-11-10,293
2015-11-11,239
2015-11-12,245
2015-11-13,536
2015-11-14,5
2015-11-15,10
2015-11-16,402
2015-11-17,290
2015-11-18,340
2015-11-19,349
2015-11-20,354
2015-11-22,2
2015-11-23,481
2015-11-24,317
2015-11-25,610
2015-11-26,87
2015-11-27,18
2015-11-29,23
2015-11-30,531
2015-12-01,329
2015-12-02,286
2015-12-03,369
2015-12-04,308
2015-12-05,7
2015-12-06,1
2015-12-07,369
2015-12-08,323
2015-12-09,331
2015-12-10,295
2015-12-11,244
2015-12-12,5
2015-12-13,5
2015-12-14,536
2015-12-15,519
